organisation,records lost,year,month,story,sector,method,data sensitivity,1st source link
Meet Mindful,2240000,2021,May,"Dating site user data includes real names, phone numbers, Facebook account codes, latitude & longtitude. Thankfully private messages were not leaked.",tech,hacked,4,https://www.zdnet.com/article/hacker-leaks-data-of-2-28-million-dating-site-users/
Memorial Healthcare System,102153,2012,June,"For more than a year, an employee of an affiliated physician's office accessed patient information through a web portal: names, dates of birth and Social Security numbers.",health,lost device,2,https://www.databreaches.net/more-breaches-you-may-not-have-known-about/
MGM Hotels,10600000,2020,July,Data stolen during an 2019 hack of an MGM server was published on a hacking forum.,retail,hacked,2,https://www.zdnet.com/article/exclusive-details-of-10-6-million-of-mgm-hotel-guests-posted-on-a-hacking-forum/
Microsoft,250000000,2020,June,Customer support records spanning 14 years were left online without password protection.,web,poor security,1,https://www.forbes.com/sites/daveywinder/2020/01/22/microsoft-security-shocker-as-250-million-customer-records-exposed-online/#91076484d1b3
Militarysingles.com,163792,2012,September ,"Hacking group LulzSec released a database of 163,792 names, usernames, e-mail addresses, IP addresses, and passwords of ""single"" military personnel.",web,hacked,1,http://www.pcworld.com/article/252647/reborn_lulzsec_claims_hack_of_dating_site_for_military_personnel.html
Minecraft,7000000,2016,January,Players using Minecraft's Lifeboat service had their email addresses and passwords leaked. The passwords were very weakly hashed.,gaming,hacked,1,https://www.bbc.co.uk/news/technology-36168860
Monster.com,1600000,2007,October,"A trojan virus harvested user names, e-mail addresses, home addresses and phone numbers. Soon after, phishing e-mails encouraged users to download a Monster Job Seeker Tool, which was in fact malware.",web,hacked,2,http://news.bbc.co.uk/1/hi/6956349.stm
Morgan Stanley Smith Barney,34000,2011,July,"Morgan Stanley mailed two CDRs containing sensitive data about investors to the New York State Department of Taxation and Finance. When it arrived at the relevant desk, the CDs were missing.",finance,lost device,3,https://abcnews.go.com/Business/morgan-stanley-smith-barney-breach-losing-client-data/story?id=14008632
Mossack Fonseca,11500000,2016,December,"A hacker took 2.6TB of data from the Panamanian law firm. It included emails, contracts, scanned documents, transcripts and sensitive information relating to many politicians and public figures.",misc,hacked,5,http://panamapapers.sueddeutsche.de/articles/56febff0a1bb8d3c3495adf4/
Mount Olympus,1100,2016,January,An employee stole client information and loan files and took them with him when he went to work for a competitor. Mount Olympus later awarded $25m in damages.,finance,inside job,5,https://www.housingwire.com/articles/36597-guaranteed-rate-ordered-to-pay-25m-to-mount-olympus-mortgage-for-data-theft/
Mozilla,76000,2014,June,"After the failure of a ""data sanitation"" process, Mozilla's developer community was alerted to an accidental leak of email addresses and encrypted passwords.",web,poor security,2,http://www.theguardian.com/technology/2014/aug/05/mozilla-leak-developer-email-addresses-passwords-firefox
MSpy,400000,2015,September ,"A service that claims to help people spy on mobile devices was hacked, exposing emails, text messages, payment and location data.",app,hacked,2,http://krebsonsecurity.com/2015/05/mobile-spy-software-maker-mspy-hacked-customer-data-leaked/
Mutuelle Generale de la Police,112000,2016,November,Personal details of French police officers were uploaded to Google Drive by an employee. The leak came two weeks after a gendarme was murdered in an ISIS-inspired attack.,health,inside job,5,http://www.bbc.co.uk/news/world-europe-36645519
MyFitnessPal,150000000,2018,June,"A breach of usernames, email addresses, and hashed passwords belonging to users of the fitness app.",app,hacked,1,https://www.theguardian.com/technology/2018/mar/30/hackers-steal-data-150m-myfitnesspal-app-users-under-armour
MyHeritage,92283889,2018,April,The genealogy site received a message from a researcher who had discovered over 92m email addresses and encrypted passwords on an external server.,web,hacked,1,https://www.bloombergquint.com/technology/hack-of-dna-website-exposes-data-from-92-million-user-accounts
MySpace,164000000,2016,June,"In one of the largest password breaches ever, 360 million MySpace logins were stolen and put on sale for $2,800.",web,hacked,1,https://www.vice.com/en_us/article/pgkk8v/427-million-myspace-passwords-emails-data-breach
Nametests,120000000,2018,December,"A security failure in a ""personality test"" app on Facebook left millions of people's data publicly exposed for almost two years even after they had deleted the app.",app,poor security,1,https://medium.com/@intideceukelaire/this-popular-facebook-app-publicly-exposed-your-data-for-years-12483418eff8
NASDAQ,500000,2013,September ,"Cybercriminals targeted the Nasdaq online forum, stealing email addresses and passwords.",finance,hacked,1,https://uk.reuters.com/article/net-us-nasdaq-cybercrime-website/nasdaq-forum-website-hacked-passwords-compromised-idUSBRE96H1F520130718
National Security Agency,1500000,2013,March,"Edward Snowden, an intelligence contractor in Hawaii, downloaded up to 1.5 million files. He then flew to Hong Kong to meet journalists Glenn Greenwald and Laura Poitras before fleeing to Moscow.",government,inside job,5,http://uk.businessinsider.com/snowden-leaks-timeline-2016-9
Neiman Marcus,4600000,2021,April,"Occurred sometime in May 2020 after ""an unauthorized party"" obtained the personal information of some Neiman Marcus customers from their online accounts.",retail,hacked,3,https://arstechnica.com/information-technology/2021/10/neiman-marcus-data-breach-impacts-4-6-million-customers/
Neiman Marcus,1100000,2014,December,Malware in the firm's IT system leaked customer payment data for several months.,retail,hacked,2,http://www.nytimes.com/2014/01/24/business/neiman-marcus-breach-affected-1-1-million-cards.html
Nemours Foundation,1600000,2011,January,"A Florida health care provider responsible for running childrens' hospitals lost three data backup tapes, containing 10 years worth of information.",health,lost device,4,https://www.law360.com/articles/277961/nemours-says-data-breach-affected-1-6m-patients
Network Solutions,573000,2009,May,A large-scale infection of e-commerce sites with malicious code led to the compromise of thousands of debit and credit cards.,web,hacked,3,http://voices.washingtonpost.com/securityfix/2009/07/network_solutions_hack_comprom.html
New York City Health & Hospitals Corp.,1700000,2011,January,Computer backup tapes from the New York provider were stolen from a truck that was transporting them to a secure storage location.,health,lost device,4,https://www.inforisktoday.com/new-york-breach-affects-17-million-a-3349
New York State Electric & Gas,1800000,2012,March,An employee from a software consulting firm was able to grant unauthorized access to the energy supplier's database.,misc,inside job,2,https://www.databreaches.net/nyseg-and-rge-notify-customers-of-unauthorized-access-to-customer-data/
New York Taxis,52000,2014,May,"A freedom of information request resulted in the release of data on all 173 million journeys undertaken by New York taxis in one year. Unfortunately, the data was not properly anonymised.",transport,poor security,1,https://medium.com/@vijayp/f6bc289679a1
Newegg,45000000,2018,July,Hackers injected 15 lines of card skimming code on the online retailer's payments page. It remained online for more than a month.,retail,hacked,3,https://techcrunch.com/2018/09/19/newegg-credit-card-data-breach/
Nexon Korea Corp,13200000,2011,November,Personal data of subscribers to the online game Maple Story was breached and subsequently leaked.,web,hacked,2,https://uk.reuters.com/article/us-korea-hacking-nexon/data-of-13-million-south-korean-online-game-subscribers-hacked-idUSTRE7AP09H20111126
NHS,8600000,2011,April,A laptop holding the unencrypted records of eight million patients went missing from an NHS store room and wasn't reported until 3 weeks later.,health,lost device,4,https://www.alphr.com/news/security/368062/nhs-loses-laptop-holding-8m-patient-records
Nintendo,300000,2020,Ocotober,Unauthorised access to thousands of Nintendo Switch accounts. Hackers were able to use saved payment details to make purchases.,gaming,hacked,3,https://techcrunch.com/2020/06/09/nintendo-accounts-affected-breach/?guccounter=1&guce_referrer=aHR0cHM6Ly9nYW1lcy5zbGFzaGRvdC5vcmcvc3RvcnkvMjAvMDYvMDkvMTg0MjIzNy9uaW50ZW5kby1ub3ctc2F5cy0zMDAwMDAtYWNjb3VudHMtYnJlYWNoZWQtYnktaGFja2Vycz91dG1fc291cmNlPXJzczEuMG1haW5saW5rYW5vbiZ1dG1fbWVkaXVtPWZlZWQ&guce_referrer_sig=AQAAAIXC8IvaFgPdt5t-CUm7yPEhKblsmme4097SUtEWdSkjyrdsxVYiQBfbdpekm_Y29T7evb-5zNNl2-ZHfNSmVkKFnE5vClvpvsaPYykOO8WtAX76dZoL2EUkVL8XfmMQBVlNF43T5MATGNeSnwn6Ta6ELVBXnf_ZTsmVaemjk1Vf
Nintendo,4000000,2013,April,"Names, phone numbers, home and email addresses of Japanese members of Club Nintendo were stolen after a website breach.",gaming,hacked,2,https://www.zdnet.com/article/club-nintendo-site-hacked-customer-data-exposed/
NMBS,700000,2018,April,"Customer names, gender, birth dates, email and postal address data were left on a publicly searchable server belonging to the Belgian rail authority. Caused by a data worker clicking on the wrong button.",transport,Mistake,2,http://www.flanderstoday.eu/business/nmbs-data-leak-was-breach-privacy
Norwegian Tax Authorities,3950000,2008,December,"Tax authorities accidentally sent CD-ROMs filled with the 2006 tax returns of 4m Norwegian citizens to editorial staff at national newspapers, radios and television stations.",government,Mistake,2,http://infowatch.com/node/1289
Nvidia,100000,2021,March,"""“We are aware that the threat actor took employee credentials and some NVIDIA proprietary information from our systems and has begun leaking it online,” a company spokesperson told CNN in a statement.""",tech,hacked,2,https://edition.cnn.com/2022/03/01/tech/nvidia-information-leak/
Office of the Texas Attorney General,6500000,2012,May,The office of Texas Attorney General Greg Abbott mistakenly gave attorneys access to a database containing millions of Social Security numbers.,government,Mistake,2,http://www.rawstory.com/rs/2012/04/26/texas-attorney-general-exposes-millions-of-voters-social-security-numbers/
Ohio State University,760000,2010,February ,"The breach affected current and former students. It cost the university $4m in expenses related to investigative consulting, breach notification and credit security.",academic,hacked,2,https://www.thelantern.com/2010/12/hacked-data-breach-costly-for-ohio-state-victims-of-compromised-info/
Okta,100000,2021,April,Identity and access management provider Okta,tech,hacked,1,https://www.theverge.com/2022/4/20/23034360/okta-lapsus-hack-investigation-breach-25-minutes
Omiai dating app,1710000,2021,August,"Addresses and dates of birth from identification, including passports, drivers licenses and health insurance cards, provided to the company.",app,hacked,2,https://www.japantimes.co.jp/news/2021/05/22/business/tech/omiai-dating-app-hack-japan/
Open Subtitles,100000,2022,March,"""In August 2021 we received message on Telegram from a hacker, who showed us proof that he could gain access to the user table of opensubtitles.org, and downloaded a SQL dump from it. He asked for a BTC ransom to not disclose this to public and promise to delete the data.""",web,hacked,1,https://forum.opensubtitles.org/viewtopic.php?t=17685
Orbitz,880000,2018,December,"An legacy version of the travel website was hacked, exposing personal details and payment card info of people who'd made purchases in 2016 and 2017. Orbitz is now owned by Expedia.",web,hacked,3,https://www.usnews.com/news/business/articles/2018-03-20/orbitz-legacy-travel-booking-platform-likely-hacked
Oregon Department of Motor Vehicles,1000000,2011,June,"Detectives arrested Tim Nuss for accessing an old Oregon Department of Motor Vehicles database, including names, addresses, birth dates, gender and ages of people who registered.",government,hacked,2,https://www.databreaches.net/or-deputies-man-used-dmv-database-in-id-theft/
OVH,200000,2013,December,"A hacker gained access to an email account, from where they were able to compromise the firm's internal systems. The European customer database was exposed.",web,hacked,2,http://status.ovh.net/?do=details&id=5070
OxyData,380000000,2019,December,"Information compiled by a data aggregation firm were found on an insecure server. It included complete scrapes of LinkedIn data, including recruiter information.",tech,poor security,2,https://www.dataviper.io/blog/2019/pdl-data-exposure-billion-people/
Pakistani mobile operators,115000000,2020,December,Personal details stolen from Jazz and other mobile networks were put up for sale for $2.1m in bitcoin.,telecoms,hacked,2,https://www.zdnet.com/article/details-of-44m-pakistani-mobile-users-leaked-online-part-of-bigger-115m-cache/
Pandora Papers,11900000,2021,January,"Millions of documents reveal offshore deals and assets of more than 100 billionaires, 30 world leaders and 300 public officials",government,hacked,4,https://www.theguardian.com/news/2021/oct/03/pandora-papers-biggest-ever-leak-of-offshore-data-exposes-financial-secrets-of-rich-and-powerful
Panerabread,37000000,2018,October,"Customer records, including loyalty card numbers, were available via the bakery chain's website for at least 8 months. The firm claims 10k records were leaked. Security researchers put the figure at over 37 million.",retail,poor security,2,https://krebsonsecurity.com/2018/04/panerabread-com-leaks-millions-of-customer-records/
Park Mobile,21000000,2021,November,"Customer email addresses, dates of birth, phone numbers, license plate numbers, hashed passwords and mailing addresses.",transport,hacked,2,https://krebsonsecurity.com/2021/04/parkmobile-breach-exposes-license-plate-data-mobile-numbers-of-21m-users/
PayAsUGym,300000,2016,March,The fitness website was hacked. Email addresses and passwords were published online.,web,hacked,1,http://www.bbc.co.uk/news/technology-38350987
PayHere,1580249,2022,November,"Sri Lankan payment gateway PayHere suffered a data breach exposing more than 65GB of payment records including over 1.5M unique email addresses. (IP and physical addresses, names, phone numbers, purchase histories and partially obfuscated credit card data (card type, first 6 and last 4 digits plus expiry date).",finance,hacked,3,https://blog.payhere.lk/ensuring-integrity-on-payhere-cybersecurity-incident/
Peloton,3000000,2021,December,"""Researchers at security consultancy Pen Test Partners on Wednesday reported that a flaw in Peloton’s online service was making data for all of its users available to anyone anywhere in the world, even when a profile was set to private. All that was required was a little knowledge of the faulty programming interfaces that Peloton uses to transmit data between devices and the company’s servers.""",tech,poor security,2,https://arstechnica.com/gadgets/2021/05/peloton-takes-3-months-to-fix-flaw-that-exposed-users-private-information/#p3
Petflow,1000000,2019,February ,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,retail,poor security,1,https://techcrunch.com/2019/02/14/hacker-strikes-again/
Philippines Commission on Elections,55000000,2016,December,"After a message was posted on the COMELEC website by hackers from Anonymous, warning the government of its weak election security, the entire database of voters was stolen and posted online.",government,hacked,5,http://blog.trendmicro.com/trendlabs-security-intelligence/55m-registered-voters-risk-philippine-commission-elections-hacked/
Plex,15000000,2022,January,"Intruders access password data, usernames, and emails for at least half of its 30 million users.",web,hacked,1,https://arstechnica.com/information-technology/2022/08/plex-imposes-password-reset-after-hackers-steal-data-for-15-million-users/
Premera,11000000,2015,April,"The health insurance firm revealed that its IT systems had been breached, exposing financial and medical records.",health,hacked,5,https://www.computerweekly.com/news/2240242508/Premera-hack-exposes-11-million-financial-and-medical-records
Privatization Agency of the Republic of Serbia,5190396,2014,June,A text file containing personal data and financial documents relating to almost all adult Serbian citizens was made publically available.,government,Mistake,2,https://www.poverenik.rs/en/press-releases/1953-povreda-prava-na-zastitu-podataka-o-licnosti-skoro-svih-punoletnih-gradjana-srbije.html
Quest Diagnostics,20000000,2019,December,"For an 8 month period, a hacker group stole personal and payment information from a firm providing billing services for the US healthcare sector.",health,poor security,4,https://www.zdnet.com/article/amca-data-breach-has-now-gone-over-the-20-million-mark/
Quest Diagnostics,34000,2016,April,"Healthcare data accessed by an unauthorised third party contained names, dates of birth and lab results.",health,hacked,4,http://newsroom.questdiagnostics.com/2016-12-12-Quest-Diagnostics-Provides-Notice-of-Data-Security-Incident#assets_129
Quora,100000000,2018,January,"Login details and private messages were compromised by ""a malicious third party"".",web,hacked,1,https://www.nytimes.com/2018/12/04/technology/quora-hack-data-breach.html
RBS Worldpay,1500000,2008,November,A hack compromised RBS Worldpay prepay and gift cards. Actual fraud has been committed on approximately 100 cards. The personal information of over 1m people was exposed.,finance,hacked,5,http://www.theregister.co.uk/2008/12/29/rbs_worldpay_breach/
Red Cross,500000,2022,June,"A network intrusion at the International Committee for the Red Cross (ICRC) in January led to the theft of personal information on more than 500,000 people receiving assistance from the group. KrebsOnSecurity has learned that the email address used by a cybercriminal actor who offered to sell the stolen ICRC data also was used to register multiple domain names the FBI says are tied to a sprawling media influence operation originating from Iran.",NGO,hacked,4,https://arstechnica.com/information-technology/2022/01/red-cross-hack-compromises-the-personal-data-of-515k-highly-vulnerable-people/
Red Cross Blood Service,550000,2016,September ,"Australian donor information was accessed via an unsecured database posted online by a contractor. Information included that of ""at-risk sexual behaviour"".",health,Mistake,4,http://www.abc.net.au/news/2016-10-28/red-cross-blood-service-admits-to-data-breach/7974036
Restaurant Depot,200000,2011,July,Nov 2011. Cybercrooks presumed to be operating from Russia hacked into the Restaurant Depot database and accessed credit and debit card details.,retail,hacked,3,https://www.finextra.com/newsarticle/23243/restaurant-depot-hacked-by-russian-cyber-criminals
River City Media,340000000,2017,February ,"One of the world's largest spam operations accidentally leaked a backup of its database of over a billion email addresses, along with real names, IP and physical addresses.",web,Mistake,2,https://www.theguardian.com/technology/2017/mar/06/email-addresses-spam-leak-river-city-media
Robinhood,5000937,2021,July,"a malicious hacker had socially engineered a customer service representative over the phone November 3 to get access to customer support systems. That allowed the hacker to obtain customer names and email addresses, but also the additional full names, dates of birth and ZIP codes of 310 customers.",finance,hacked,2,https://techcrunch.com/2021/11/09/robinhood-data-breach/?guccounter=1
RockYou!,32000000,2009,November,The site did not allow users to use special characters or punctuation in their passwords and e-mailed user passwords in plain text. Hackers took advantage of these security lapses.,web,hacked,1,http://techcrunch.com/2009/12/14/rockyou-hack-security-myspace-facebook-passwords/
Roll20,4000000,2019,March,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,gaming,hacked,1,https://techcrunch.com/2019/02/14/hacker-strikes-again/
RootsWeb,300000,2017,April,"Data on a ""leaky server"" belonging to Ancestry.com's community-driven site RootsWeb was exposed. Passwords, email addresses and usernames were leaked.",web,poor security,4,https://threatpost.com/leaky-rootsweb-server-exposes-some-ancestry-com-user-data/129248/
Royal Enfield,420873,2020,January,"Motorcycle maker Royal Enfield left a database publicly exposed that resulted in the inadvertent publication of over 400k customers. (Email and physical addresses, names, motorcycle information, social media profiles, passwords, and other personal information)",transport,poor security,3,https://www.thequint.com/news/india/royal-enfield-exposed-database-containing-450000-customer-data-cyber-security-expert
Saks and Lord & Taylor,5000000,2018,December,"A known ring of cybercriminals implanted software into store cash registers, siphoning off credit card details from readers.",retail,hacked,3,https://www.nytimes.com/2018/04/01/technology/saks-lord-taylor-credit-cards.html
San Francisco Public Utilities Commission,180000,2011,May,"A server storing customer data was found to be a) unsecured, and b) infected with viruses.",government,hacked,1,http://news.cnet.com/8301-27080_3-20068386-245/sf-utilities-agency-warns-of-potential-breach/
Sanrio,3300000,2015,December,"A researcher accessed a database containing login information, password hints and birthdates of fans of the Hello Kitty brand, including many children.",web,poor security,2,https://www.csoonline.com/article/3017171/database-leak-exposes-3-3-million-hello-kitty-fans.html
Scribd,500000,2013,June,"A website billing itself as the ""world's largest online library"" was hacked. 1% of its users had passwords compromised.",web,hacked,1,http://nakedsecurity.sophos.com/2013/04/05/scribd-worlds-largest-online-library-admits-to-network-intrusion-password-breach/
"Seacoast Radiology, PA",231400,2011,April,"Computer gamers hacked a server in search of more bandwidth to play Call of Duty. In the process they gained access to personal records of more than 230,000 patients.",health,hacked,2,http://www.fosters.com/apps/pbcs.dll/article?AID=/20110120/GJNEWS_01/701209744
Securus Technologies,70000000,2015,April,"An anonymous hacker leaked records of over 70m prisoner phone calls, plus links to recordings, potentially violating constitutional protections.",web,hacked,5,https://theintercept.com/2015/11/11/securus-hack-prison-phone-company-exposes-thousands-of-calls-lawyers-and-clients/
Sega,1290755,2011,October,"Information registered as part of the Sega Pass system was stolen, including names, birth dates, e-mail addresses and passwords.",gaming,hacked,2,http://www.zdnet.com/blog/gamification/sega-1-3-million-customer-records-hacked-lulzsec-promises-retribution/481
Service Personnel and Veterans Agency (UK),50500,2008,September ,Hard drives containing personal information of employees were stolen from a high-security facility.,government,lost device,2,http://news.bbc.co.uk/1/hi/england/gloucestershire/7639006.stm
Shanghai Police,500000000,2022,June,"A database containing records of over a billion Chinese civilians and allegedly stolen from the Shanghai Police. Addresses, police records and national ID numbers. Potentially one of the largest data breaches in history. Details repressed and censored by Chinese media.",finance,hacked,5,https://www.theregister.com/2022/07/05/shanghai_police_database_for_sell/
ShareThis,41000000,2019,August,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",web,hacked,1,https://www.theregister.co.uk/2019/02/11/620_million_hacked_accounts_dark_web/
SingHealth,1500000,2018,May,"Hackers stole personal details of 1.5 million patients, as well as the prescription details of 160,000 people, including prime minister Lee Hesien Loong.",health,hacked,4,https://www.straitstimes.com/singapore/personal-info-of-15m-singhealth-patients-including-pm-lee-stolen-in-singapores-most
SKY Brasil,32000000,2018,December,"Poorly configured servers exposed customer details including payment methods for long enough to make their theft ""likely"".",telecoms,poor security,1,https://www.bleepingcomputer.com/news/security/sky-brasil-exposes-32-million-customer-records/
Slack,500000,2015,September ,"Sometime in February 2015, hackers were able to peruse Slack's central database for up to four days. That database included usernames, email addresses and encrypted passwords.",app,hacked,1,http://techcrunch.com/2015/03/27/slack-got-hacked/
Snapchat,1700000,2017,June,Indian hackers leaked records after taking umbrage at comments made by Snapchat's CEO about their country.,app,hacked,1,http://www.bgr.in/news/indian-hacker-group-leaks-data-of-1-7-million-snapchat-users-after-ceos-poor-country-comments-report/
SnapChat,4600000,2013,December,"Hackers abused an exploit to siphon off usernames and phone numbers, which were then posted online.",web,hacked,2,https://www.bbc.co.uk/news/technology-25572661
SolarWinds,50000000,2020,March,"Suspected Russian hackers compromised network monitoring software used by the Pentagon, intelligence agencies, nuclear labs and many Fortune 500 companies. A tainted software update acted as a trojan horse. An unknown number of companies and individuals might be affected.",app,hacked,3,https://www.nytimes.com/2020/12/14/us/politics/russia-hack-nsa-homeland-security-pentagon.html
Sony Online Entertainment,24600000,2011,November,"Hackers may have taken personal information from accounts in Austria, Germany, The Netherlands and Spain, including over 12,000 credit card accounts and 10,000 bank accounts.",gaming,hacked,3,https://privacyrights.org/data-breaches/sony-playstation-network-psn-sony-online-entertainment-soe
Sony Pictures,10000000,2014,April,"Potentially every piece of data held by the company was hacked, including unreleased films, employee social security numbers and sensitive internal documents. North Korea suspected.",misc,hacked,2,http://www.buzzfeed.com/tomgara/sony-hack
Sony Pictures,1000000,2011,November,The LulzSec hacking collective accessed unencrypted user information. They claimed that they didn't have the resources to steal everything they were able to access.,web,hacked,1,http://mashable.com/2011/06/02/sony-pictures-hacked/
Sony PSN,77000000,2011,December,"Rounding off a thoroughly unhappy year for Sony, their third breach saw a breach of 76,000,000 Sony PSN and Qriocity user accounts. They were offline for 23 days.",gaming,hacked,1,https://blog.playstation.com/archive/2011/04/28/playstation-network-and-qriocity-outage-faq/
South Carolina Government,228000,2012,February ,A man was arrested for sending confidential information on Medicaid beneficiaries to his personal email address.,health,inside job,4,https://www.infosecurity-magazine.com/news/data-breach-hits-228000-south-carolina-medicaid/
South Carolina State Dept. of Revenue,3600000,2012,August,A server containing social security numbers and credit card data was breached by an international hacker.,government,hacked,1,http://www.infoworld.com/article/2615754/cyber-crime/south-carolina-reveals-massive-data-breach-of-social-security-numbers--credit-cards.html
"South Shore Hospital, Massachusetts",800000,2011,November,"South Shore Hospital hired a contractor to destroy files no longer in use. The firm lost the shipment. It contained social security numbers, medical records and banking details.",health,lost device,5,https://www.infosecurity-magazine.com/news/south-shore-hospital-data-breach-may-affect-up-to/
Southern California Medical-Legal Consultants,300000,2011,September ,"Electronic files containing names and social security numbers of approximately 300,000 individuals who have applied for workers compensation benefits were left unsecured.",health,hacked,2,https://www.databreaches.net/southern-california-medical-legal-consultants-reveals-that-300000-workers-compensation-applicants-names-and-social-security-numbers-were-exposed-on-internet/
Spambot,520000000,2017,July,"A misconfigured spambot leaked email addresses and passwords. ""Almost one address for every single man, woman and child in all of Europe."" The set included some fake or repeated accounts.",web,poor security,4,https://www.theguardian.com/technology/2017/aug/30/spambot-leaks-700m-email-addresses-huge-data-breach-passwords
Spartanburg Regional Healthcare System,400000,2011,September ,"A computer stolen from an employee's car contained a password-protected file with Social Security numbers as well as names, addresses, dates of birth and medical billing codes.",health,lost device,4,https://www.inforisktoday.com/400000-affected-by-stolen-pc-a-3853
Spotify,500000,2020,April,Undisclosed number of users had their email addresses and passwords left open online. Spotify said the vulnerability existed as far back as April 9 but wasn't discovered until November 12.,app,Mistake,1,https://techcrunch.com/2020/12/10/spotify-resets-user-passwords-after-a-bug-exposed-private-account-information/?guccounter=1&guce_referrer=aHR0cHM6Ly9pdC5zbGFzaGRvdC5vcmcv&guce_referrer_sig=AQAAAMGNMpm00iWQgE4Zhw1q6_5FoeBsJUbWyKEniavHxaZR-X1oBrnXuFtvr9B4IYBK1C6x9AfEqEZwzfJaZhhINvaBZltXd-DF036LVwwnAhWAMQpD98Lahw3sni-Z2bS6qEIjPgodPdZHV3DRJWLrNt0bOoohuh_DWM8-IngVnCl6
ssndob.ms,4000000,2013,November,"Teenage hackers collected data for exposed.su, a site that charged people to search for the social security numbers, birthdays, phone numbers and addresses of celebrities.",web,hacked,2,http://krebsonsecurity.com/2013/09/data-broker-giants-hacked-by-id-theft-service/
Stanford University,72000,2008,December,A laptop containing information on tens of thousands of past and current Stanford University employees was stolen.,academic,lost device,2,http://www.sfgate.com/bayarea/article/Stanford-employees-data-on-stolen-laptop-3281185.php
Staples,1160000,2014,September ,"Point of sale systems were infected with malware. Thieves may have used it to steal customer names, payment card numbers, expiration dates and card verification codes.",retail,hacked,3,http://fortune.com/2014/12/19/staples-cards-affected-breach/
Star Alliance,16000000,2021,August,"The Star Alliance of airlines including Singapore Airlines, Lufthansa and United, said on Thursday it had been the victim of a cyber attack leading to a breach of passenger data. Lufthansa, Cathay Pacific and Air New Zealand were also affected. Breached data was limited to ""name, tier status and membership number",transport,hacked,1,https://www.theguardian.com/world/2021/mar/05/airline-data-hack-hundreds-of-thousands-of-star-alliance-passengers-details-stolen
Starbucks,97000,2008,May,"A laptop containing private information on 97,000 employees was stolen. Employees won a case against the firm before losing in the federal court as they were unable to prove any cognizable harm.",retail,lost device,2,https://infowatch.com/analytics/leaks_monitoring/1304
State of Texas,3500000,2011,March,"3.5 million records were accidentally published online including people's names, mailing addresses and social security numbers. They were there for a year.",government,Mistake,2,https://uk.pcmag.com/news/105457/texas-security-breach-exposes-35m-records
Steam,35000000,2011,November,"Attackers used login details from a forum hack to gain access to a database containing user names, encrypted passwords and credit card info, game purchases and billing addresses.",web,hacked,3,http://www.bbc.co.uk/news/technology-15690187
Stratfor,935000,2011,August,"Hacking collective Anonymous published what they claimed was Stratfor's confidential client list, along with credit card details and passwords. In fact, it was a list of subscribers to Stratfor's online publication.",military,hacked,3,https://www.nytimes.com/2011/12/26/technology/hackers-breach-the-web-site-of-stratfor-global-intelligence.html?ref=technology&mtrref=bits.blogs.nytimes.com&gwh=A41315BCE5C521B2A0D451BEFF0886E9&gwt=pay
Stronghold Kingdoms,5000000,2019,September ,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,gaming,hacked,1,https://techcrunch.com/2019/02/14/hacker-strikes-again/
Suprema,27800000,2019,December,"A biometric security company stored unencrypted usernames and passwords, fingerprints and facial recognition information on a publicly accessible database.",tech,poor security,5,https://www.theguardian.com/technology/2019/aug/14/major-breach-found-in-biometrics-system-used-by-banks-uk-police-and-defence-firms
Sutter Medical Foundation,4243434,2011,November,"A stolen laptop contained a database with names, addresses, dates of birth, phone numbers, email addresses, medical record numbers and health insurance plans.",health,lost device,2,https://blog.trendmicro.com/sutter-health-sued-for-1-billion-following-data-breach/
SVR Tracking,540000,2017,April,Personal data and vehicle details were exposed. Customer passwords were stored using an easily-crackable algorithm.,app,poor security,4,https://thehackernews.com/2017/09/hacker-track-car.html
Swedish Transport Agency,3000000,2017,July,All Swedish driving license data was made available to Czech IT workers. The question of whether national security was harmed was censored in the official report.,government,poor security,5,https://www.thelocal.se/20170717/swedish-authority-handed-over-keys-to-the-kingdom-in-it-security-slip-up
Syniverse,500000000,2021,May,"""A company that is a critical part of the global telecommunications infrastructure used by AT&T, T-Mobile, Verizon and several others around the world such as Vodafone and China Mobile, quietly disclosed that hackers were inside its systems for years, impacting more than 200 of its clients and potentially millions of cellphone users worldwide.""",telecoms,hacked,4,https://www.vice.com/en/article/z3xpm8/company-that-routes-billions-of-text-messages-quietly-says-it-was-hacked
Syrian government,274477,2016,June,Hacking outfit calling itself 'Cyber Justice Team' leaked 10GB of data from multiple Syrian government and private websites. Much of it was duplicated from previously known hacks.,government,hacked,1,http://news.softpedia.com/news/syrian-government-hacked-43-gb-of-data-spilled-online-by-hacktivists-502765.shtml
TalkTalk,157000,2015,December,"Shares in the telecoms firm plunged by a third after the hack, which exposed the banking details of more than 15,000 people.",telecoms,hacked,2,https://www.bbc.co.uk/news/business-34743185
